date,date,date.3,date.2,date.1,unnamed: 0,open,high,low,close,adjclose,volume,ticker
1970-01-01 00:00:00.000005905,1970-01-01 00:00:00.000005905,1970-01-01 00:00:00.000005905,1970-01-01 00:00:00.000005905,1970-01-01 00:00:00.000005905,2020-10-30,3157.75,3167.0,3019.0,3036.14990234375,3036.14990234375,8386400,AMZN
1970-01-01 00:00:00.000005906,1970-01-01 00:00:00.000005906,1970-01-01 00:00:00.000005906,1970-01-01 00:00:00.000005906,1970-01-01 00:00:00.000005906,2020-11-02,3061.739990234375,3079.7099609375,2950.1201171875,3004.47998046875,3004.47998046875,7257400,AMZN
1970-01-01 00:00:00.000005907,1970-01-01 00:00:00.000005907,1970-01-01 00:00:00.000005907,1970-01-01 00:00:00.000005907,1970-01-01 00:00:00.000005907,2020-11-03,3018.530029296875,3074.89990234375,2980.97998046875,3048.409912109375,3048.409912109375,4897900,AMZN
1970-01-01 00:00:00.000005908,1970-01-01 00:00:00.000005908,1970-01-01 00:00:00.000005908,1970-01-01 00:00:00.000005908,1970-01-01 00:00:00.000005908,2020-11-04,3159.989990234375,3244.85009765625,3139.72998046875,3241.159912109375,3241.159912109375,6839000,AMZN
1970-01-01 00:00:00.000005909,1970-01-01 00:00:00.000005909,1970-01-01 00:00:00.000005909,1970-01-01 00:00:00.000005909,1970-01-01 00:00:00.000005909,2020-11-05,3319.969970703125,3366.800048828125,3288.8798828125,3322.0,3322.0,5789300,AMZN
1970-01-01 00:00:00.000005910,1970-01-01 00:00:00.000005910,1970-01-01 00:00:00.000005910,1970-01-01 00:00:00.000005910,1970-01-01 00:00:00.000005910,2020-11-06,3304.639892578125,3322.0,3232.0,3311.3701171875,3311.3701171875,4647300,AMZN
1970-01-01 00:00:00.000005911,1970-01-01 00:00:00.000005911,1970-01-01 00:00:00.000005911,1970-01-01 00:00:00.000005911,1970-01-01 00:00:00.000005911,2020-11-09,3231.030029296875,3289.0,3112.110107421875,3143.739990234375,3143.739990234375,7190400,AMZN
1970-01-01 00:00:00.000005912,1970-01-01 00:00:00.000005912,1970-01-01 00:00:00.000005912,1970-01-01 00:00:00.000005912,1970-01-01 00:00:00.000005912,2020-11-10,3095.02001953125,3114.0,3019.47998046875,3035.02001953125,3035.02001953125,6591000,AMZN
1970-01-01 00:00:00.000005913,1970-01-01 00:00:00.000005913,1970-01-01 00:00:00.000005913,1970-01-01 00:00:00.000005913,1970-01-01 00:00:00.000005913,2020-11-11,3061.780029296875,3139.14990234375,3050.0,3137.389892578125,3137.389892578125,4366900,AMZN
1970-01-01 00:00:00.000005914,1970-01-01 00:00:00.000005914,1970-01-01 00:00:00.000005914,1970-01-01 00:00:00.000005914,1970-01-01 00:00:00.000005914,2020-11-12,3159.949951171875,3175.8798828125,3086.050048828125,3110.280029296875,3110.280029296875,4362000,AMZN
1970-01-01 00:00:00.000005915,1970-01-01 00:00:00.000005915,1970-01-01 00:00:00.000005915,1970-01-01 00:00:00.000005915,1970-01-01 00:00:00.000005915,2020-11-13,3122.0,3141.719970703125,3085.389892578125,3128.81005859375,3128.81005859375,3756200,AMZN
1970-01-01 00:00:00.000005916,1970-01-01 00:00:00.000005916,1970-01-01 00:00:00.000005916,1970-01-01 00:00:00.000005916,1970-01-01 00:00:00.000005916,2020-11-16,3093.199951171875,3142.699951171875,3072.68994140625,3131.06005859375,3131.06005859375,3808700,AMZN
1970-01-01 00:00:00.000005917,1970-01-01 00:00:00.000005917,1970-01-01 00:00:00.000005917,1970-01-01 00:00:00.000005917,1970-01-01 00:00:00.000005917,2020-11-17,3183.5400390625,3189.25,3135.260009765625,3135.659912109375,3135.659912109375,3444700,AMZN
1970-01-01 00:00:00.000005918,1970-01-01 00:00:00.000005918,1970-01-01 00:00:00.000005918,1970-01-01 00:00:00.000005918,1970-01-01 00:00:00.000005918,2020-11-18,3134.0,3140.0,3105.10009765625,3105.4599609375,3105.4599609375,2916800,AMZN
1970-01-01 00:00:00.000005919,1970-01-01 00:00:00.000005919,1970-01-01 00:00:00.000005919,1970-01-01 00:00:00.000005919,1970-01-01 00:00:00.000005919,2020-11-19,3105.31005859375,3125.0,3080.919921875,3117.02001953125,3117.02001953125,3010300,AMZN
